,id,title,category,brand,modelno,price,query,category_predict,brand_predict
2839,2839,lexmark 43xl 44 xl pack color and black high yield print cartridges,inkjet printer ink,lexmark,18y0372,56.09,"{'title': 'lexmark 43xl 44 xl pack color and black high yield print cartridges', 'category': 'inkjet printer ink', 'brand': 'lexmark', 'modelno': '18y0372', 'price': 56.09}","['laser printer toner', 'computer accessories', 'printer ink toner', 'inkjet printer ink', 'card stock']","['epson', 'ocinkjet', '4inkjets', 'compatible', 'lexmark']"
2841,2841,lexar lcf4gbbsbna200 platinum ii 4 gb 200x compact flash memory card,blank media,lexar,lcf4gbbsbna200,24.06,"{'title': 'lexar lcf4gbbsbna200 platinum ii 4 gb 200x compact flash memory card', 'category': 'blank media', 'brand': 'lexar', 'modelno': 'lcf4gbbsbna200', 'price': 24.06}","['memory card readers', 'computer accessories', 'memory cards', 'computer components', 'blank media']","['unknown', 'lexerd', 'sandisk', 'lexmark', 'lexar']"
2844,2844,level mount ezew7-07 10 external wire management kit,wire management,easymounts,elew7-07,17.96,"{'title': 'level mount ezew7-07 10 external wire management kit', 'category': 'wire management', 'brand': 'easymounts', 'modelno': 'elew7-07', 'price': 17.96}","['wire management', 'mounts', 'speaker mounts', 'audio-video kits', 'projector mounts']","['cp technology', 'easymounts', 'level mount', 'omnimount', 'arrowmounts']"
2860,2860,black image drum for c6100 series printers,printer ink toner,oki data,43381720,66.43,"{'title': 'black image drum for c6100 series printers', 'category': 'printer ink toner', 'brand': 'oki data', 'modelno': '43381720', 'price': 66.43}","['i o port cards', 'printer ink toner', 'computer accessories', 'inkjet printer ink', 'laser printer toner']","['oki data', 'oki', 'hakuba', 'seiko instruments', 'moon tech']"
2868,2868,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera carbon black,point shoot digital cameras,kodak,,99.95,"{'title': 'kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera carbon black', 'category': 'point shoot digital cameras', 'brand': 'kodak', 'price': 99.95}","['digital slr cameras', 'point shoot digital cameras', 'point shoot digital camera bundles', 'digital cameras', 'disposable cameras']","['sandisk', 'nikon', 'fuji', 'olympus', 'kodak']"
2880,2880,kingston hyperx 12gb kit 3x4gb modules 1600mhz ddr3 dimm desktop memory khx1600c9d3k3 12gx,computers accessories,kingston,khx1600c9d3k3/12gx,86.74,"{'title': 'kingston hyperx 12gb kit 3x4gb modules 1600mhz ddr3 dimm desktop memory khx1600c9d3k3 12gx', 'category': 'computers accessories', 'brand': 'kingston', 'modelno': 'khx1600c9d3k3/12gx', 'price': 86.74}","['electronics', 'computers accessories', 'car audio video', 'external data storage', 'memory']","['memtek', 'qubits', 'kingston', 'maxram', 'mushkin']"
2884,2884,kingston 2 gb ddr2 sdram memory module 2 gb 1 x 2 gb 800mhz ddr2800 pc26400 ecc ddr2 sdram 240pin dimm kth-xw4400e6 2g,memory,kingston,kth-xw4400e6 / 2g,29.94,"{'title': 'kingston 2 gb ddr2 sdram memory module 2 gb 1 x 2 gb 800mhz ddr2800 pc26400 ecc ddr2 sdram 240pin dimm kth-xw4400e6 2g', 'category': 'memory', 'brand': 'kingston', 'modelno': 'kth-xw4400e6 / 2g', 'price': 29.94}","['computers accessories', 'computer accessories', 'cpu processors', 'memory', 'computer components']","['ram', 'mushkin', 'memory upgrades', 'kingston', 'crucial']"
2901,2901,kensington column mount extended monitor arm with smartfit k60904us,,kensington,k60904us,112.99,"{'title': 'kensington column mount extended monitor arm with smartfit k60904us', 'brand': 'kensington', 'modelno': 'k60904us', 'price': 112.99}","['mounts', 'computer monitor mounts', 'monitor accessories', 'tv mounts', 'monitor arms stands']","['kensington', 'handstands', 'ergotron', 'easymounts', 'arrowmounts']"
2912,2912,the joy factory valet versatile in-car retractable carbon fiber seat bolt ipad 1 first generation mount aab103 black,touch screen tablet accessories,the joy factory,aab103,131.29,"{'title': 'the joy factory valet versatile in-car retractable carbon fiber seat bolt ipad 1 first generation mount aab103 black', 'category': 'touch screen tablet accessories', 'brand': 'the joy factory', 'modelno': 'aab103', 'price': 131.29}","['docking stations', 'touch pads', 'laptop netbook computer accessories', 'lap desks', 'touch screen tablet accessories']","['the joy factory', 'qdos', 'accessory power', 'accessory genie', 'genius']"
2956,2956,iogear usb 2.0 combo hub and card reader with mini-b cable guh286,memory card readers,iogear,guh286,32.23,"{'title': 'iogear usb 2.0 combo hub and card reader with mini-b cable guh286', 'category': 'memory card readers', 'brand': 'iogear', 'modelno': 'guh286', 'price': 32.23}","['connectors adapters', 'hubs', 'computer components', 'i o port cards', 'memory card readers']","['sharp', 'sunvalleytek', 'startech', 'sonnet technologies', 'iogear']"
2964,2964,iogear 2-port dual view kvm switch with audio and usb peripheral sharing gcs1742,kvm switches,iogear,gcs1742,167.99,"{'title': 'iogear 2-port dual view kvm switch with audio and usb peripheral sharing gcs1742', 'category': 'kvm switches', 'brand': 'iogear', 'modelno': 'gcs1742', 'price': 167.99}","['kvm switches', 'networking products', 'hubs', 'faceplates', 'home audio theater']","['sunvalleytek', 'netgear', 'connectpro', 'cable showcase', 'iogear']"
2965,2965,intermatic tb121c digital tabletop lamp and appliance timer,timers,,tb121c,14.99,"{'title': 'intermatic tb121c digital tabletop lamp and appliance timer', 'category': 'timers', 'modelno': 'tb121c', 'price': 14.99}","['dimmer switches', 'timers', 'programmable', 'scientific', 'changers']","['precision design', 'intermatic', 'nec', 'dane', 'jensen']"
2968,2968,innovera cd dvd wallet holds 48 cds nylon black,disc storage wallets,innovera,,4.48,"{'title': 'innovera cd dvd wallet holds 48 cds nylon black', 'category': 'disc storage wallets', 'brand': 'innovera', 'price': 4.48}","['dvd cases', 'media storage organization', 'bd-r discs', 'disc jewel cases', 'disc storage wallets']","['case logic', 'innovelis', 'dicota', 'imation', 'innovera']"
2978,2978,allsop 30379 3d mouse pad lightning,,allsop,,,"{'title': 'allsop 30379 3d mouse pad lightning', 'brand': 'allsop'}","['mice', 'antitheft', 'cables interconnects', 'mouse pads', 'gamepads']","['3dconnexion', 'allsop', 'micro sata cables', 'lapgear', 'hippus']"
3007,3007,ihome 5 button retractable optical notebook mouse black,mice,ihome,ih-m151ob,14.95,"{'title': 'ihome 5 button retractable optical notebook mouse black', 'category': 'mice', 'brand': 'ihome', 'modelno': 'ih-m151ob', 'price': 14.95}","['mice', 'keyboard mouse combos', 'cooling pads', 'cleaning repair', 'touch pads']","['adesso', 'ihome', 'human toolz', 'lifeworks', 'humantoolz']"
3025,3025,htc mytouch 3g unlocked android phone with 3g support gps wi-fi and touch screen - us warranty - black,unlocked phones,htc,htc mytouch 3g,199.36,"{'title': 'htc mytouch 3g unlocked android phone with 3g support gps wi-fi and touch screen - us warranty - black', 'category': 'unlocked phones', 'brand': 'htc', 'modelno': 'htc mytouch 3g', 'price': 199.36}","['phones with plans', 'no-contract phones', 'pdas handhelds', 'unlocked phones', 'desktop chargers']","['mybat', 'accessory power', 'nokia', 'rim', 'htc']"
3028,3028,hp 11 yellow printhead in retail packaging,printer ink toner,hp,hewc4813a,,"{'title': 'hp 11 yellow printhead in retail packaging', 'category': 'printer ink toner', 'brand': 'hp', 'modelno': 'hewc4813a'}","['dlt cleaning cartridges', 'printer ink toner', 'inkjet printer ink', 'laser printer toner', 'printer labels laser inkjet']","['hewlett packard office', 'unknown', 'ocinkjet', 'pitney bowes', 'hp']"
3029,3029,hp v135w 4 gb usb 2.0 flash drive p-fd4gbhp135-ef blue,usb flash drives,hp,p-fd4gbhp135-ef,15.25,"{'title': 'hp v135w 4 gb usb 2.0 flash drive p-fd4gbhp135-ef blue', 'category': 'usb flash drives', 'brand': 'hp', 'modelno': 'p-fd4gbhp135-ef', 'price': 15.25}","['usb cables', 'dvd drives', 'external floppy drives', 'optical drives', 'usb flash drives']","['atp', 'pny', 'p f', 'p3 international', 'hp']"
3044,3044,hp laserjet 74a black cartridge in retail packaging 92274a,laser printer toner,hp,92274a,49.49,"{'title': 'hp laserjet 74a black cartridge in retail packaging 92274a', 'category': 'laser printer toner', 'brand': 'hp', 'modelno': '92274a', 'price': 49.49}","['printer ink toner', 'computer accessories', 'data cartridges', 'inkjet printer ink', 'laser printer toner']","['compatible', 'oki data', 'lexmark', 'hp', 'unknown']"
3061,3061,hp business communications inkjet paper bright white letter size 8.5 x 11 500 per ream 20300-0,inkjet printer paper,hp,20300-0,10.15,"{'title': 'hp business communications inkjet paper bright white letter size 8.5 x 11 500 per ream 20300-0', 'category': 'inkjet printer paper', 'brand': 'hp', 'modelno': '20300-0', 'price': 10.15}","['paper', 'copy multipurpose paper', 'business paper products', 'inkjet printer paper', 'wide-format paper']","['s j paper', 'hp', 'hewlett packard office', 'pitney bowes', 'mead']"
3066,3066,denon dnc615 pro rack mount cd player with digital output,cd players,denon,den dnc615,299.0,"{'title': 'denon dnc615 pro rack mount cd player with digital output', 'category': 'cd players', 'brand': 'denon', 'modelno': 'den dnc615', 'price': 299.0}","['dvd players', 'stereos', 'cd players', 'portable cd players', 'compact stereos']","['pyle', 'alco electronics', 'sound around', 'denon', 'kenwood']"
3076,3076,hi-capacity main battery for dell latitude x300,batteries,battery-biz,b-5796-az36483,43.99,"{'title': 'hi-capacity main battery for dell latitude x300', 'category': 'batteries', 'brand': 'battery-biz', 'modelno': 'b-5796-az36483', 'price': 43.99}","['batteries', 'batteries accessories', 'adapters', 'ac adapters', 'chargers adapters']","['hi-capacity', 'dell', 'portacell', 'duracell', 'battery-biz']"
3115,3115,griffin usb-to-dock connector cable for ipod,docking stations,griffin technology,3013-idckcbl,4.5,"{'title': 'griffin usb-to-dock connector cable for ipod', 'category': 'docking stations', 'brand': 'griffin technology', 'modelno': '3013-idckcbl', 'price': 4.5}","['docking stations', 'chargers', 'mp3 player cables adapters', 'mp3 players accessories', 'mp3 player accessories']","['unknown', 'jwin', 'hipstreet', 'griffin technology', 'qdos']"
3134,3134,gigabyte ga-h67n-usb3-b3 h67 lga1155 mini-itx motherboard,motherboards,gigabyte,ga-h67n-usb3-b3,94.63,"{'title': 'gigabyte ga-h67n-usb3-b3 h67 lga1155 mini-itx motherboard', 'category': 'motherboards', 'brand': 'gigabyte', 'modelno': 'ga-h67n-usb3-b3', 'price': 94.63}","['cpu processors', 'motherboards', 'component amplifiers', 'internal sound cards', 'computer components']","['solidtek', 'mushkin', 'gigabyte', 'general electric', 'intel']"
3145,3145,fujitsu scansnap s1500 deluxe bundle sheet-fed scanner,scanners,fujitsu,fi-s1500-sr,440.99,"{'title': 'fujitsu scansnap s1500 deluxe bundle sheet-fed scanner', 'category': 'scanners', 'brand': 'fujitsu', 'modelno': 'fi-s1500-sr', 'price': 440.99}","['scanners', 'camera photo', 'printer accessories', 'radio scanners', 'scanner accessories']","['visioneer', 'fujitsu', 'visiontek', 'sigma', 'fuji']"
3152,3152,flip slidehd video camera - white 16 gb 4 hours,camcorders,flip video,s1240w,159.99,"{'title': 'flip slidehd video camera - white 16 gb 4 hours', 'category': 'camcorders', 'brand': 'flip video', 'modelno': 's1240w', 'price': 159.99}","['instant cameras', 'portable novelty tvs', 'digital cameras', 'camcorders', 'camera photo']","['action', 'flip video', 'viewhd', 'kodak', 'vistaquest']"
3157,3157,fellowes transparent presentation binding cover pvc material 8.75 x 11.25 inches clear 25 per pack 52309,binding machine supplies,fellowes,52309,10.49,"{'title': 'fellowes transparent presentation binding cover pvc material 8.75 x 11.25 inches clear 25 per pack 52309', 'category': 'binding machine supplies', 'brand': 'fellowes', 'modelno': '52309', 'price': 10.49}","['binding machine supplies', 'combs spines', 'binding covers paper', 'binding machines', 'covers']","['3m', 'mygift', 'fellowes', 'quartet', 'sceptre']"
3167,3167,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,graphics cards,evga,01g-p3-1452-tr,119.88,"{'title': 'evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr', 'category': 'graphics cards', 'brand': 'evga', 'modelno': '01g-p3-1452-tr', 'price': 119.88}","['component amplifiers', 'computers accessories', 'graphics cards', 'video capture cards', 'internal sound cards']","['xfx', 'ati', 'nvidia', 'general electric', 'evga']"
3169,3169,evga geforce gt 520 1024 mb ddr3 pci-express 2.0 graphics card 01g-p3-1521-kr,,evga,01g-p3-1521-kr,55.17,"{'title': 'evga geforce gt 520 1024 mb ddr3 pci-express 2.0 graphics card 01g-p3-1521-kr', 'brand': 'evga', 'modelno': '01g-p3-1521-kr', 'price': 55.17}","['computers accessories', 'video capture cards', 'televisions video', 'accessories supplies', 'graphics cards']","['mitsubishi', 'evga', 'nvidia', 'ati', 'xfx']"
3173,3173,epson t048420 yellow ink cartridge rx500 and r300 printers,inkjet printer ink,epson,t048420,11.95,"{'title': 'epson t048420 yellow ink cartridge rx500 and r300 printers', 'category': 'inkjet printer ink', 'brand': 'epson', 'modelno': 't048420', 'price': 11.95}","['inkjet printer ink', 'inkjet printers', 'printer photoconductors', 'laser printer toner', 'printer ink toner']","['compatible', 'lexmark', 'ocinkjet', 'epson', 'unknown']"
3205,3205,dymo labelmanager 260p,label makers,dymo,260p,,"{'title': 'dymo labelmanager 260p', 'category': 'label makers', 'brand': 'dymo', 'modelno': '260p'}","['other office equipment', 'label makers', 'labels indexes stamps', 'labeling tapes', 'removable labels']","['seiko instruments', 'dymo', 'seiko', 'pm company', 'plustek']"
3223,3223,zyxel zywall usg50 internet security firewall with dual-wan 4 gigabit lan dmz ports 5 ipsec vpn ssl vpn and 3g wan support,computers accessories,zyxel,zwusg50,252.99,"{'title': 'zyxel zywall usg50 internet security firewall with dual-wan 4 gigabit lan dmz ports 5 ipsec vpn ssl vpn and 3g wan support', 'category': 'computers accessories', 'brand': 'zyxel', 'modelno': 'zwusg50', 'price': 252.99}","['networking products', 'computers accessories', 'routers', 'hardware', 'car audio video']","['zyxel', 'sunvalleytek', 'sonicwall', 'nix', 'diamond multimedia']"
3255,3255,woodees iesw100v vintage noise isolating earphones with 3 button microphone sunburst,headphones,woodees,iesw100v,69.67,"{'title': 'woodees iesw100v vintage noise isolating earphones with 3 button microphone sunburst', 'category': 'headphones', 'brand': 'woodees', 'modelno': 'iesw100v', 'price': 69.67}","['wired headsets', 'headphones', 'amps', 'headsets', 'earpads']","['koss', 'curtis', 'audio-technica', 'woodees', 'switcheasy']"
3256,3256,wireless ultra slim mini keyboard with laptop style keypad,,siig,jk-wr0512-s1,33.49,"{'title': 'wireless ultra slim mini keyboard with laptop style keypad', 'brand': 'siig', 'modelno': 'jk-wr0512-s1', 'price': 33.49}","['car electronics accessories', 'car electronics', 'car audio video installation', 'car audio video', 'audio video accessories']","['siig', 'seh', 'sharp', 'solidtek', 'gear head']"
3258,3258,x-acto 1031 - model ks manual pencil sharpener table - or wall-mount black chrome,laminating supplies,x-acto,,32.19,"{'title': 'x-acto 1031 - model ks manual pencil sharpener table - or wall-mount black chrome', 'category': 'laminating supplies', 'brand': 'x-acto', 'price': 32.19}","['shredders', 'binding machine supplies', 'laminating supplies', 'printer accessories', 'office electronics accessories']","['mayline', 'x-acto', 'sharp', 'actiontec', 'storex']"
3260,3260,wintec filemate imagine series k1210 usb mini keyboard - light pink with white keys 3fmnk1210upk-r,keyboards,wintec,3fmnk1210upk-r,13.99,"{'title': 'wintec filemate imagine series k1210 usb mini keyboard - light pink with white keys 3fmnk1210upk-r', 'category': 'keyboards', 'brand': 'wintec', 'modelno': '3fmnk1210upk-r', 'price': 13.99}","['keyboards', 'keyboard mouse combos', 'usb flash drives', 'keyboard drawers platforms', 'audio video accessories']","['wintec', 'gear head', 'emtec', 'kingwin', 'unknown']"
3265,3265,wilson electronics 801247 desktop dt adjustable gain cell phone signal booster for home or office - for multiple users,signal boosters,wilson,801247,228.17,"{'title': 'wilson electronics 801247 desktop dt adjustable gain cell phone signal booster for home or office - for multiple users', 'category': 'signal boosters', 'brand': 'wilson', 'modelno': '801247', 'price': 228.17}","['accessories', 'accessories supplies', 'signal boosters', 'home security systems', 'office electronics']","['diamond', 'wilson jones', 'wilson', 'jensen', 'sanford']"
3273,3273,western digital my book studio ii - 2 tb 2 x 1 tb usb 2.0 firewire 800 400 esata desktop external hard drive,,western digital,wdh2q20000n,179.99,"{'title': 'western digital my book studio ii - 2 tb 2 x 1 tb usb 2.0 firewire 800 400 esata desktop external hard drive', 'brand': 'western digital', 'modelno': 'wdh2q20000n', 'price': 179.99}","['internal hard drives', 'external data storage', 'hard drive bags', 'computers accessories', 'external hard drives']","['grace digital', 'seagate', 'smartdisk', 'western digital', 'imation']"
3304,3304,verbatim premium 16 gb sdhc flash memory card class 6 96808,blank media,verbatim,96808,25.99,"{'title': 'verbatim premium 16 gb sdhc flash memory card class 6 96808', 'category': 'blank media', 'brand': 'verbatim', 'modelno': '96808', 'price': 25.99}","['blank media', 'memory cards', 'computer accessories', 'cd-r discs', 'film']","['lexar', 'smartdisk', 'memtek', 'dane-elec', 'verbatim']"
3307,3307,verbatim 2.8 gb 2x double-sided mini dvd-ram bundle 3 discs,blank media,verbatim,95429,19.8,"{'title': 'verbatim 2.8 gb 2x double-sided mini dvd-ram bundle 3 discs', 'category': 'blank media', 'brand': 'verbatim', 'modelno': '95429', 'price': 19.8}","['bd-r discs', 'dvd rw discs', 'blank media', 'cd-rw discs', 'dvd-rw discs']","['imation', 'americopy', 'verbatim', 'maxram', 'memtek']"
3309,3309,verbatim 96676 desktop laser mouse,mice,verbatim,96676,19.78,"{'title': 'verbatim 96676 desktop laser mouse', 'category': 'mice', 'brand': 'verbatim', 'modelno': '96676', 'price': 19.78}","['mice', 'cables interconnects', 'desktops', 'gaming mice', 'computer accessories']","['mustek', 'smartdisk', 'xerox', 'sharp', 'verbatim']"
3319,3319,v7 cat5e snagless molded network patch cable rj45 male to male black 25-feet v7n3c5e-25f-blks,ethernet cables,v7,v7n3c5e-25f-blks,5.39,"{'title': 'v7 cat5e snagless molded network patch cable rj45 male to male black 25-feet v7n3c5e-25f-blks', 'category': 'ethernet cables', 'brand': 'v7', 'modelno': 'v7n3c5e-25f-blks', 'price': 5.39}","['usb cables', 'networking products', 'cables interconnects', 'network systems', 'ethernet cables']","['avocent', 'v7', 'vmware', 'belkin', 'fantom']"
3340,3340,uni-ball 60042 - onyx roller ball stick dye-based pen red ink micro dozen,storage presentation materials,uniball,,,"{'title': 'uni-ball 60042 - onyx roller ball stick dye-based pen red ink micro dozen', 'category': 'storage presentation materials', 'brand': 'uniball'}","['storage presentation materials', 'pins tacks', 'microphones accessories', 'uninterrupted power supply ups', 'graphics tablets']","['paper mate', 'uniball', 'tops', 'universal', 'united facility supply']"
3348,3348,trendnet tv-ip121wn securview wireless day night internet surveillance camera,surveillance cameras,trendnet,tv-ip121wn,124.71,"{'title': 'trendnet tv-ip121wn securview wireless day night internet surveillance camera', 'category': 'surveillance cameras', 'brand': 'trendnet', 'modelno': 'tv-ip121wn', 'price': 124.71}","['webcams', 'bullet cameras', 'monitors', 'surveillance cameras', 'security monitors displays']","['trendware', 'fantom', 'q-see', 'trendnet', 'micronet']"
3350,3350,trendnet securview pan tilt zoom internet surveillance camera tv-ip410 white,webcams,trendnet,tv-ip410,121.33,"{'title': 'trendnet securview pan tilt zoom internet surveillance camera tv-ip410 white', 'category': 'webcams', 'brand': 'trendnet', 'modelno': 'tv-ip410', 'price': 121.33}","['bullet cameras', 'camera photo', 'simulated cameras', 'webcams', 'surveillance cameras']","['q-see', 'fantom', 'micronet', 'trendnet', 'trendware']"
3351,3351,trendnet proview pan tilt zoom internet surveillance camera tv-ip600 white,webcams,trendnet,tv-ip600,137.84,"{'title': 'trendnet proview pan tilt zoom internet surveillance camera tv-ip600 white', 'category': 'webcams', 'brand': 'trendnet', 'modelno': 'tv-ip600', 'price': 137.84}","['camera photo', 'televisions video', 'desktops', 'netbooks', 'webcams']","['fantom', 'trendware', 'micronet', 'zoom', 'trendnet']"
3356,3356,trendnet 54mbps wireless g pc card tew-421pc,hardware,trendnet,,24.99,"{'title': 'trendnet 54mbps wireless g pc card tew-421pc', 'category': 'hardware', 'brand': 'trendnet', 'price': 24.99}","['network cards', 'hubs', 'network adapters', 'hardware', 'laptop network adapters']","['velocity', 'micronet', 'trendware', 'trendnet', 'zoom']"
3361,3361,transcend 16 gb compact flash card 600x ts16gcf600 yellow,blank media,transcend,ts16gcf600,75.39,"{'title': 'transcend 16 gb compact flash card 600x ts16gcf600 yellow', 'category': 'blank media', 'brand': 'transcend', 'modelno': 'ts16gcf600', 'price': 75.39}","['data cartridges', 'memory cards', 'car audio video', 'laser printer toner', 'blank media']","['ciphertex', 'imation', 'transcend', 'maxram', 'memtek']"
3368,3368,tp-link td-w8950nd 150 mbps wireless n adsl2 modem router,routers,tp-link,td-w8950nd,49.99,"{'title': 'tp-link td-w8950nd 150 mbps wireless n adsl2 modem router', 'category': 'routers', 'brand': 'tp-link', 'modelno': 'td-w8950nd', 'price': 49.99}","['hardware', 'routers', 'modems', 'networking products', 'usb network adapters']","['d-link', 'tp link', 'tp-link', 'cp technology', 'zoom']"
3387,3387,thecus n7700pro 7-bay network attached storage,computers accessories,thecus,n7700pro,1034.16,"{'title': 'thecus n7700pro 7-bay network attached storage', 'category': 'computers accessories', 'brand': 'thecus', 'modelno': 'n7700pro', 'price': 1034.16}","['network cards', 'computers accessories', 'network attached storage', 'netbooks', 'networking products']","['thecus', 'antec', 'fantom', 'nocs', 'micronet']"
3408,3408,targus screen protector with bubble-free adhesive for blackberry playbook tablet awv1230us clear,screen protectors,,awv1230us,19.99,"{'title': 'targus screen protector with bubble-free adhesive for blackberry playbook tablet awv1230us clear', 'category': 'screen protectors', 'modelno': 'awv1230us', 'price': 19.99}","['cleaning repair', 'screen protectors', 'touch screen tablet accessories', 'computers accessories', 'screen protector foils']","['merkury innovations', 'targus', 'tarifold', 'merkury', 'jabra']"
3411,3411,targus pawm10u wireless optical notebook mouse with power management,mice,targus,pawm10u,15.99,"{'title': 'targus pawm10u wireless optical notebook mouse with power management', 'category': 'mice', 'brand': 'targus', 'modelno': 'pawm10u', 'price': 15.99}","['mice', 'keyboard mouse combos', 'cleaning repair', 'computers accessories', 'touch pads']","['hp', 'atek electronics', 'gear head', 'mustek', 'targus']"
3418,3418,targus citygear chicago backpack case for 15.4 inch notebooks tcg650 black with grey,laptop netbook computer accessories,targus,tcg650,39.15,"{'title': 'targus citygear chicago backpack case for 15.4 inch notebooks tcg650 black with grey', 'category': 'laptop netbook computer accessories', 'brand': 'targus', 'modelno': 'tcg650', 'price': 39.15}","['laptop netbook computer accessories', 'computers accessories', 'bags cases', 'sleeves', 'cases sleeves']","['merkury', 'merkury innovations', 'brenthaven', 'targus', 'kroo']"
3419,3419,targus mobile laptop charger dc with limited two year warranty apd80us black,chargers adapters,targus,apd80us,46.91,"{'title': 'targus mobile laptop charger dc with limited two year warranty apd80us black', 'category': 'chargers adapters', 'brand': 'targus', 'modelno': 'apd80us', 'price': 46.91}","['amps', 'wall chargers', 'chargers adapters', 'battery chargers', 'ac adapters']","['amp', 'dekcell', 'portacell', 'targus', 'duracell']"
3422,3422,memorex dvd r 16x 4.7 gb 100 pack spindle,dvd r discs,memorex,32025621,21.99,"{'title': 'memorex dvd r 16x 4.7 gb 100 pack spindle', 'category': 'dvd r discs', 'brand': 'memorex', 'modelno': '32025621', 'price': 21.99}","['dvd-rw discs', 'dvd-r discs', 'dvd r discs', 'cd-r discs', 'dvd rw discs']","['memorex', 'xtrememac', 'xtreme', 'memtek', 'imation']"
3433,3433,sylvania 4 gb video mp3 player with full color screen blue,mp3 players,curtis,smpk4083-blue,19.99,"{'title': 'sylvania 4 gb video mp3 player with full color screen blue', 'category': 'mp3 players', 'brand': 'curtis', 'modelno': 'smpk4083-blue', 'price': 19.99}","['cd-mp3 players', 'mp3 players', 'blu-ray disc players', 'boomboxes', 'plug play satellite radios']","['sandisk', 'sylvania', 'curtis', 'smc', 'curo7']"
3434,3434,sylvania smp2012 2 gb clip mp3 player black,mp3 players,curtis,smp2012,19.99,"{'title': 'sylvania smp2012 2 gb clip mp3 player black', 'category': 'mp3 players', 'brand': 'curtis', 'modelno': 'smp2012', 'price': 19.99}","['blu-ray disc players', 'mp3 players', 'boomboxes', 'plug play satellite radios', 'cd-mp3 players']","['xo vision', 'sylvania', 'alco electronics', 'curo7', 'curtis']"
3446,3446,slr camera sling pack,cases bags,sumdex,poc-484bk,44.59,"{'title': 'slr camera sling pack', 'category': 'cases bags', 'brand': 'sumdex', 'modelno': 'poc-484bk', 'price': 44.59}","['digital slr cameras', 'digital slr camera bundles', 'cases bags', 'binocular camera camcorder straps', 'camcorder batteries']","['amsahr', 'ncr', 'cblwhl', 'sumdex', 'cameta']"
3447,3447,sumdex ntc-108bk camera camcorder case,cases bags,sumdex,ntc-108bk,22.87,"{'title': 'sumdex ntc-108bk camera camcorder case', 'category': 'cases bags', 'brand': 'sumdex', 'modelno': 'ntc-108bk', 'price': 22.87}","['media storage organization', 'binocular camera camcorder straps', 'bags cases', 'cases bags', 'camera photo']","['sumdex', 'dicota', 'sumas media', 'cameta', 'sumas']"
3453,3453,stereo standard phone 1 4 plug to two 2 rca jacks audio adapter cable 6 inches - spps 2pj-cs,rca cables,comprehensive,,14.03,"{'title': 'stereo standard phone 1 4 plug to two 2 rca jacks audio adapter cable 6 inches - spps 2pj-cs', 'category': 'rca cables', 'brand': 'comprehensive', 'price': 14.03}","['rca cables', 'microphone cables', 'power ground cable', 'subwoofer cables', 'power cables']","['comprehensive', 'srs', 'c-line', 'comprehensive video', 'mpi']"
3465,3465,startech.com muyhsmff 3.5 mm 4-pin to 2x 3-pin 3.5 mm headset splitter adapter - m f,connectors adapters,,muyhsmff,10.41,"{'title': 'startech.com muyhsmff 3.5 mm 4-pin to 2x 3-pin 3.5 mm headset splitter adapter - m f', 'category': 'connectors adapters', 'modelno': 'muyhsmff', 'price': 10.41}","['i o port cards', 'connectors adapters', 'usb cables', 'hubs', 'cables interconnects']","['startech', 'brainydeal', 'jwin', 'sunvalleytek', 'mpi']"
3488,3488,sony np-fv100 rechargeable battery pack retail packaging,camcorder batteries,sony,npfv100,92.55,"{'title': 'sony np-fv100 rechargeable battery pack retail packaging', 'category': 'camcorder batteries', 'brand': 'sony', 'modelno': 'npfv100', 'price': 92.55}","['camcorder batteries', 'a', 'batteries', 'adapters', 'camera batteries']","['duracell', 'neewer', 'polaroid', 'cellular innovations', 'sony']"
3513,3513,sony bloggie camera with 360 degree lens attachment white,camcorders,sony,mhsfs1k/w,148.0,"{'title': 'sony bloggie camera with 360 degree lens attachment white', 'category': 'camcorders', 'brand': 'sony', 'modelno': 'mhsfs1k/w', 'price': 148.0}","['film cameras', 'camera photo', 'camcorders', 'digital cameras', 'film']","['norazza', 'vistaquest', 'ape case', 'norazza inc.', 'sony']"
3515,3515,sony alpha pcklh6am lcd protective cover,case bag accessories,sony,pcklh6am,11.99,"{'title': 'sony alpha pcklh6am lcd protective cover', 'category': 'case bag accessories', 'brand': 'sony', 'modelno': 'pcklh6am', 'price': 11.99}","['adapters', 'covers skins', 'case bag accessories', 'lens accessories', 'cleaning repair']","['fellowes', 'unknown', 'butterfly', 'sony', 'mcover']"
3550,3550,sennheiser hd228 closed back headphone optimized for ipod iphone mp3 and music players,headphones,sennheiser,hd228,50.43,"{'title': 'sennheiser hd228 closed back headphone optimized for ipod iphone mp3 and music players', 'category': 'headphones', 'brand': 'sennheiser', 'modelno': 'hd228', 'price': 50.43}","['home audio crossovers', 'headsets', 'headphone accessories', 'wired headsets', 'headphones']","['koss', 'audio-technica', 'jvc', 'sennheiser', 'plantronics']"
