,ltable_id,rtable_id,label,l_entity,r_entity
826,5760,8702,0,"{'/sku': '[dw00100141]', 'category': 'Jewelry', 'description': '  "" DANİEL WELLİNGTON DW00100141 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'title': '  "" DANİEL WELLİNGTON DW00100141 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100141 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100141']""}}","{'title': '', 'brand': 'Cartier', 'color': '', 'gender': 'W', 'sku': 'W20018D6', 'diameter': '', 'description': '  ""Cartier Santos W20018D6"" W20018D6 Watch | Watchfinder & Co.""  ""This Cartier has undergone a thoro'}"
828,65,7958,1,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Tissot T Sport PRC 200 ""@en   ""Tissot T Sport PRC 200 T055.417.11.057.00""@en', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': 'Cronografo T-Sport PRC200 Quartz Gent', 'brand': 'Tissot', 'color': '', 'gender': 'Gent', 'sku': 'T055.417.11.037.00', 'diameter': '', 'description': '  ""Cronografo T-Sport PRC200 Quartz Gent""@it ""Tissot Cronografo Gent T055.417.11.037.00 - Colombo Gi'}"
829,1658,8123,1,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Cronografo T-Sport PRC200 Quartz Gent""@it ""Tissot Cronografo Gent T055.417.11.037.00 - Colombo Gi', 'title': 'Cronografo T-Sport PRC200 Quartz Gent', 'brand': 'Tissot', 'color': '', 'gender': 'Gent', 'sku': 'T055.417.11.037.00', 'diameter': ''}","{'title': 'Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent', 'brand': 'Tissot', 'color': 'Quartz', 'gender': 'Gent', 'sku': 'T055.417.11.057.00', 'diameter': '', 'description': '  ""Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent""@en ""Watch T-Sport Quartz Laguardajoiers off'}"
830,5841,4259,1,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Tissot PRC 200 Quartz T055.417.11.057.00 Chrono Gent""@es catálogo oficial Laguardajoiers distribu', 'title': 'Tissot PRC 200 Quartz T055.417.11.057.00 Chrono Gent', 'brand': 'Tissot', 'color': '', 'gender': 'Men', 'sku': 'T055.417.11.057.00', 'diameter': ''}","{'title': ""Tissot Men's PRC200 Chronograph Watch"", 'brand': 'Tissot', 'color': 'black', 'gender': 'men', 'sku': 'T0554171105700', 'diameter': '42 mm', 'description': '  "" Tissot Men\'s PRC200 Chronograph Watch""@en ""Men\'s Watch (T0554171105700) - WATCH SHOP.com™""@en  ""'}"
831,2051,8999,1,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent""@en ""Watch T-Sport Quartz Laguardajoiers off', 'title': 'Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent', 'brand': 'Tissot', 'color': 'black', 'gender': 'Men', 'sku': 'T-Sport Quartz Laguardajoiers official dealer of in Barcelona', 'diameter': '42 mm'}","{'title': 'Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent', 'brand': 'Tissot', 'color': 'black', 'gender': 'Men', 'sku': 'T-Sport Quartz Laguardajoiers official dealer of in Barcelona', 'diameter': '42 mm', 'description': '  ""Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent""@en ""Watch T-Sport Quartz Laguardajoiers off'}"
832,5682,5088,1,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Tissot T Sport PRC 200 ""@en   ""Tissot T Sport PRC 200 T055.417.11.057.00""@en', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': ""Tissot Men's PRC200 Chronograph Watch"", 'brand': 'Tissot', 'color': 'black', 'gender': 'men', 'sku': 'T0554171105700', 'diameter': '42 mm', 'description': '  "" Tissot Men\'s PRC200 Chronograph Watch""@en ""Men\'s Watch (T0554171105700) - WATCH SHOP.com™""@en  ""'}"
833,2387,1720,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent""@en ""Watch T-Sport Quartz Laguardajoiers off', 'title': 'Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent', 'brand': 'Tissot', 'color': 'Quartz', 'gender': 'Gent', 'sku': 'T055.417.11.057.00', 'diameter': ''}","{'title': '  ""Michele Serein Diamond Two-Tone Gold, Bracelet Watch"" ""Serein""', 'sku': {'title': '  ""Michele Serein Diamond Two-Tone Gold, Bracelet Watch"" ""Serein""', 'sku': nan}, 'description': '  ""Michele Serein Diamond Two-Tone Gold, Bracelet Watch"" ""Serein""'}"
834,275,3998,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Cronografo T-Sport PRC200 Quartz Gent""@it ""Tissot Cronografo Gent T055.417.11.057.00 - Colombo Gi', 'title': 'Cronografo T-Sport PRC200 Quartz Gent', 'brand': 'Tissot', 'color': ""Questa collezione propone orologi in grado di soddisfare tutti i gusti, dallo sportivo al classico più rigoroso. Nella famiglia Tissot PRC 200 ognuno potrà trovare il modello più adatto a se. Dopo il grande successo ottenuto dalla collezione PRS200, Tissot ha deciso di proporre il PRC200, un orologio sportivo che, pur garantendo l'impermeabilità della cassa fino a 20 bar (200 m / 660 ft) assume uno stile più classico e tradizionale. La lunetta di dimensioni ridotte conferisce maggiore visibilità al quadrante, con conseguente leggibilità ottimale delle ore. Questa leggibilità è rafforzata dall'uso del rivestimento in superluminova degli indici e delle lancette."", 'gender': 'Gent', 'sku': 'T055.417.11.057.00', 'diameter': '42 mm'}","{'title': '  ""Michele Serein Diamond Two-Tone Gold, Bracelet Watch"" ""Serein""', 'sku': {'title': '  ""Michele Serein Diamond Two-Tone Gold, Bracelet Watch"" ""Serein""', 'sku': nan}, 'description': '  ""Michele Serein Diamond Two-Tone Gold, Bracelet Watch"" ""Serein""'}"
835,5679,714,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Herrenchronograph PRC200""@de ""Tissot Herrenchronograph PRC200 T055.417.11.057.00 nur 475 00 €""@de', 'title': '  ""Herrenchronograph PRC200""@de ""Tissot Herrenchronograph PRC200 T055.417.11.057.00 nur 475 00 €""@de', 'sku': {'title': '  ""Herrenchronograph PRC200""@de ""Tissot Herrenchronograph PRC200 T055.417.11.057.00 nur 475 00 €""@de', 'sku': ""['t0554171105700']""}}","{'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': {'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': nan}, 'description': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""'}"
836,3430,3542,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  "" Tissot Men\'s PRC200 Chronograph Watch""@en ""Men\'s Watch (T0554171105700) - WATCH SHOP.com™""@en  ""', 'title': ""Tissot Men's PRC200 Chronograph Watch"", 'brand': 'Tissot', 'color': 'black', 'gender': 'men', 'sku': 'T0554171105700', 'diameter': '42 mm'}","{'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': {'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': nan}, 'description': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""'}"
837,65,6968,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Tissot T Sport PRC 200 ""@en   ""Tissot T Sport PRC 200 T055.417.11.057.00""@en', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': 'MW21A01B0966_MS18EV246710', 'brand': 'Michele', 'color': 'Gold plated', 'gender': 'Ladies', 'sku': 'MW21A000008', 'diameter': 'Scratch resistant sapphire crystal', 'description': '  ""Michele Serein Watch MW21A01B0966_MS18EV246710"" ""Shop Michele MWW21A000008 Watches | Costello Jew'}"
838,1658,3262,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Cronografo T-Sport PRC200 Quartz Gent""@it ""Tissot Cronografo Gent T055.417.11.037.00 - Colombo Gi', 'title': 'Cronografo T-Sport PRC200 Quartz Gent', 'brand': 'Tissot', 'color': '', 'gender': 'Gent', 'sku': 'T055.417.11.037.00', 'diameter': ''}","{'title': 'MW21A01B0966_MS18EV246710', 'brand': 'Michele', 'color': 'Gold plated', 'gender': 'Ladies', 'sku': 'MW21A000008', 'diameter': 'Scratch resistant sapphire crystal', 'description': '  ""Michele Serein Watch MW21A01B0966_MS18EV246710"" ""Shop Michele MWW21A000008 Watches | Costello Jew'}"
840,2021,6742,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent""@en ""Watch T-Sport Quartz Laguardajoiers off', 'title': 'Quartz T055.417.11.057.00 Tissot PRC 200 Chrono Gent', 'brand': 'Tissot', 'color': 'Quartz', 'gender': 'Gent', 'sku': 'T055.417.11.057.00', 'diameter': ''}","{'title': '  ""Tradition Ladies´ Watch""@en ""Tissot Tradition Watch T063.210.11.037.00 nur € 310.00""@en', 'sku': {'title': '  ""Tradition Ladies´ Watch""@en ""Tissot Tradition Watch T063.210.11.037.00 nur € 310.00""@en', 'sku': nan}, 'description': '  ""Tradition Ladies´ Watch""@en ""Tissot Tradition Watch T063.210.11.037.00 nur € 310.00""@en'}"
841,5682,290,0,"{'/sku': '[t0554171105700]', 'category': 'Jewelry', 'price': '""27900.00""@en, ""2017-12-09""@en, ""INR""@en', 'description': '  ""Tissot T Sport PRC 200 ""@en   ""Tissot T Sport PRC 200 T055.417.11.057.00""@en', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': '  ""Tradition Ladies´ Watch""@en ""Tissot Tradition Watch T063.210.11.037.00 nur € 310.00""@en', 'sku': {'title': '  ""Tradition Ladies´ Watch""@en ""Tissot Tradition Watch T063.210.11.037.00 nur € 310.00""@en', 'sku': nan}, 'description': '  ""Tradition Ladies´ Watch""@en ""Tissot Tradition Watch T063.210.11.037.00 nur € 310.00""@en'}"
843,1435,3024,1,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': {'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': ""['eqb500d1aer']""}}","{'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': {'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': ""['eqb500d1aer']""}, 'description': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" '}"
844,5436,5417,1,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': ""CASIO Men's Edifice Time Traveller Bluetooth Alarm Chronograph Watch"", 'brand': 'CASIO', 'color': '', 'gender': '', 'sku': 'EQB-500D-1AER', 'diameter': '248.00', 'description': '  "" CASIO Men\'s Edifice Time Traveller Bluetooth Alarm Chronograph Watch ""@en ""CASIO EQB-500D-1AER £'}"
845,4857,7136,1,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""'}"
846,4540,1696,1,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': {'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': ""['eqb500d1aer']""}}","{'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""'}"
847,9218,4253,1,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': {'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': ""['eqb500d1aer']""}, 'description': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" '}"
848,8683,1754,0,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Mens Casio Edifice Time Traveller Bluetooth Hybrid Smartwatch Alarm Chronograph Watch EQB-500D-1A', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': 'EQB-500 Bluetooth Argent/Bleu - Casio Edifice', 'brand': 'Casio Edifice', 'color': 'Colorée et connectée', 'gender': 'homme', 'sku': 'EQB-500DB-2AER', 'diameter': '', 'description': '  ""EQB-500 Bluetooth Argent/Bleu - Casio Edifice ""@fr-fr EQB-500DB-2AER""@fr-fr  ""  Colorée et connec'}"
849,9027,5462,0,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': {'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': ""['eqb500d1aer']""}}","{'title': 'EQB-500 Bluetooth Argent/Bleu - Casio Edifice', 'brand': 'Casio Edifice', 'color': 'Colorée et connectée', 'gender': 'homme', 'sku': 'EQB-500DB-2AER', 'diameter': '', 'description': '  ""EQB-500 Bluetooth Argent/Bleu - Casio Edifice ""@fr-fr EQB-500DB-2AER""@fr-fr  ""  Colorée et connec'}"
850,6654,6818,0,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': 'EQB-500 Bluetooth Argent/Bleu - Casio Edifice', 'brand': 'Casio Edifice', 'color': 'Colorée et connectée', 'gender': 'homme', 'sku': 'EQB-500DB-2AER', 'diameter': '', 'description': '  ""EQB-500 Bluetooth Argent/Bleu - Casio Edifice ""@fr-fr EQB-500DB-2AER""@fr-fr  ""  Colorée et connec'}"
852,8138,7244,0,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': 'Casio Classic - EF-125D-1AVEF', 'brand': 'Casio', 'color': 'Steel & Black', 'gender': 'Gents', 'sku': 'EF-125D-1AVEF', 'diameter': '', 'description': '  "" Casio Edifice EF-125D-1AVEF watch ""Casio Classic - EF-125D-1AVEF""  ""                         Ste'}"
853,727,8963,0,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': {'title': '  ""Edifice Herrenuhr Solar Bluetooth""@de ""Casio Edifice Bluetooth EQB-500D-1AER nur 299 00 €""@de  "" ', 'sku': ""['eqb500d1aer']""}}","{'title': 'Casio Classic - EF-125D-1AVEF', 'brand': 'Casio', 'color': 'Steel & Black', 'gender': 'Gents', 'sku': 'EF-125D-1AVEF', 'diameter': '', 'description': '  "" Casio Edifice EF-125D-1AVEF watch ""Casio Classic - EF-125D-1AVEF""  ""                         Ste'}"
855,4027,2003,0,"{'/sku': '[eqb500d1aer]', 'category': 'Jewelry', 'Brand': 'Casio', 'Packaging': 'Casio packaging', 'Case width approx.': '43mm', 'Case depth approx.': '15mm', 'Gender': 'Mens', 'Dial Colour': 'Black', 'Date': 'Yes', 'Clasp type': 'Push Button Clasp', 'description': '  ""Reloj Casio Edifice EQB-500D-1AER""', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}","{'title': 'EQB-500 Bluetooth Argent/Bleu - Casio Edifice', 'brand': 'Casio Edifice', 'color': 'Argent/Bleu', 'gender': 'homme', 'sku': 'EQB-500DB-2AER', 'diameter': '', 'description': '  ""EQB-500 Bluetooth Argent/Bleu - Casio Edifice ""@fr-fr EQB-500DB-2AER""@fr-fr  ""  Colorée et connec'}"
858,7243,1296,1,"{'/productID': '[99943629]', '/mpn': '[prw25001er]', '/gtin13': '[4971850944348]', 'category': 'not found', 'description': '  ""Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER""@de', 'title': 'Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER', 'brand': 'Casio', 'color': '', 'gender': 'Herren', 'sku': 'PRW-2500-1ER', 'diameter': ''}","{'title': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'sku': {'title': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'sku': ""['4241prw25001er', 'prw25001er']""}, 'description': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik'}"
859,1987,8782,1,"{'/productID': '[99943629]', '/mpn': '[prw25001er]', '/gtin13': '[4971850944348]', 'category': 'not found', 'description': '  ""Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER""@de', 'title': 'Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER', 'brand': 'Casio', 'color': '', 'gender': 'Herren', 'sku': 'PRW-2500-1ER', 'diameter': ''}","{'title': 'Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER', 'brand': 'Casio', 'color': '', 'gender': 'Herren', 'sku': 'PRW-2500-1ER', 'diameter': '', 'description': '  ""Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER""@de'}"
861,6637,3591,1,"{'/productID': '[99943629]', '/mpn': '[prw25001er]', '/gtin13': '[4971850944348]', 'category': 'not found', 'description': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'title': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'sku': {'title': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'sku': ""['4241prw25001er', 'prw25001er']""}}","{'title': 'Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER', 'brand': 'Casio', 'color': '', 'gender': 'Herren', 'sku': 'PRW-2500-1ER', 'diameter': '', 'description': '  ""Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER""@de'}"
863,7243,2578,0,"{'/productID': '[99943629]', '/mpn': '[prw25001er]', '/gtin13': '[4971850944348]', 'category': 'not found', 'description': '  ""Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER""@de', 'title': 'Herren Casio Pro Trek Wecker Chronograf Uhr PRW-2500-1ER', 'brand': 'Casio', 'color': '', 'gender': 'Herren', 'sku': 'PRW-2500-1ER', 'diameter': ''}","{'title': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel', 'sku': {'title': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel', 'sku': nan}, 'description': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel'}"
864,1960,7439,0,"{'/productID': '[99943629]', '/mpn': '[prw25001er]', '/gtin13': '[4971850944348]', 'category': 'not found', 'description': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'title': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'sku': {'title': '  ""Pro Trek Gunung Bintang Herrenuhr""@de 00 €""@de ""Casio Pro Herrenuhr PRW-2500-1ER nur 299  "" Artik', 'sku': ""['4241prw25001er', 'prw25001er']""}}","{'title': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel', 'sku': {'title': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel', 'sku': nan}, 'description': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel'}"
866,7722,4674,0,"{'/productID': '[99943629]', '/mpn': '[prw25001er]', '/gtin13': '[4971850944348]', 'category': 'not found', 'description': '  ""Mens Casio Pro Trek Alarm Chronograph Watch PRW-2500-1ER""', 'title': 'Mens Casio Pro Trek Alarm Chronograph Watch PRW-2500-1ER', 'brand': 'Casio', 'color': '', 'gender': 'Mens', 'sku': 'PRW-2500-1ER', 'diameter': ''}","{'title': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel', 'sku': {'title': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel', 'sku': nan}, 'description': '  ""Montre Daniel Wellington, Canterbury unisexe""@fr Wellington unisexe - W0502DW""@fr  ""Montre Daniel'}"
873,2075,5271,1,"{'/sku': '[y05010m1]', 'category': 'Jewelry', 'Brand': 'GC', 'Packaging': 'GC packaging', 'Case width approx.': '37mm', 'Case depth approx.': '11mm', 'Gender': 'Ladies', 'Dial Colour': 'White Mop', 'Date': 'Yes', 'Clasp type': 'Deployment Buckle', 'Case Material': 'Stainless Steel', 'Strap type': 'Stainless Steel', 'Strap colour': 'Silver Tone', 'Water resistance': '100 metres', 'Movement': 'Swiss Quartz', 'Chronograph': 'Yes', 'MPN': 'Y05010M1', 'Guarantee': 'GC 2 year guarantee', 'description': '  "" GC Ladies Lady Chic Chronograph Watch ""@en ""GC Y05010M1 £219.00 - TheWatchSuperstore.com™""@en  ""', 'entity1': {'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}, 'entity2': {'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}}","{'entity1': {'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}, 'entity2': {'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}, 'description': '  "" GC Ladies Lady Chic Chronograph Watch ""@en ""GC Y05010M1 £219.00 - TheWatchSuperstore.com™""@en  ""'}"
